"","GID_2","NAME_2","age_group","antigen","weighted.sero","weighted.sero.UC","weighted.sero.LC","pop_risk_adm2","pop_risk_UC_adm2","pop_risk_LC_adm2","total_pop"
"2385","NGA.20.40_1","Tsanyawa","10_15","dip",0.850484499726139,0.86731900774375,0.831916271593145,5059.91283198114,4490.19836771239,5688.29995990569,33842.0620117188
"2386","NGA.20.41_1","Tundun Wada","0_5","mea",0.774761057848555,0.802870134979565,0.744048448299333,16708.6253204596,14623.4439863626,18986.9413197705,74181.7785186768
"2387","NGA.20.41_1","Tundun Wada","5_10","mea",0.925004190192964,0.935888504311557,0.912447949657628,4691.28436666333,4010.42749215546,5476.72684777059,62553.9530639648
"2388","NGA.20.41_1","Tundun Wada","10_15","mea",0.978164920505427,0.982332351952438,0.973033289572664,926.917130755516,750.00622917422,1144.75909563021,42450.8246459961
"2389","NGA.20.41_1","Tundun Wada","0_5","dip",0.589336726352751,0.62347695724837,0.55435252577962,30463.732011455,27931.1489645797,33058.9222300239,74181.7785186768
"2390","NGA.20.41_1","Tundun Wada","5_10","dip",0.736250824935751,0.761442057383604,0.709426886779671,16498.5535176285,14922.7423454621,18176.4968860346,62553.9530639648
"2391","NGA.20.41_1","Tundun Wada","10_15","dip",0.844655595555807,0.862447037063113,0.825026969139168,6594.49807279712,5839.23670917099,7427.74945085162,42450.8246459961
"2392","NGA.20.42_1","Ungogo","0_5","mea",0.763385024590891,0.792105448327765,0.73219012139367,49432.8483007914,43432.668695656,55949.9882867111,208916.8203125
"2393","NGA.20.42_1","Ungogo","5_10","mea",0.923465562620234,0.934413973998717,0.910860617852243,12775.7148521421,10948.1221155365,14879.8288378996,166927.6640625
"2394","NGA.20.42_1","Ungogo","10_15","mea",0.978633829108334,0.982894445214068,0.973327944862091,3328.91452497356,2665.09755413543,4155.58745690425,155803.046875
"2395","NGA.20.42_1","Ungogo","0_5","dip",0.576277612429152,0.60969474770994,0.542197401637506,88522.7339065223,81541.3322597074,95642.6631806928,208916.8203125
"2396","NGA.20.42_1","Ungogo","5_10","dip",0.733292613268612,0.757345168751431,0.707787880764949,44520.8410552843,40505.8041538038,48778.2864746597,166927.6640625
